"name","item","start_col","end_col","alignment","padding","name_literal","default","parent","section","source","year_added","version_added","year_retired","version_retired"
"recordType",10,1,1,"left"," ","Record Type","A","NaaccrData","Record ID","NAACCR",,,,
"patientIdNumber",20,42,49,"right","0","Patient ID Number",,"Patient","Record ID","Reporting Registry",,,,
"patientSystemIdHosp",21,50,57,"right","0","Patient System ID-Hosp",,"Tumor","Record ID","NAACCR",2006,11,,
"registryType",30,2,2,"left"," ","Registry Type",,"NaaccrData","Record ID","NAACCR",,,,
"registryId",40,30,39,"right","0","Registry ID",,"NaaccrData","Record ID","NAACCR",,,,
"npiRegistryId",45,20,29,"left"," ","NPI--Registry ID",,"NaaccrData","Record ID","CMS",2007,,,
"naaccrRecordVersion",50,17,19,"left"," ","NAACCR Record Version","140","NaaccrData","Record ID","NAACCR",,,,
"tumorRecordNumber",60,40,41,"right","0","Tumor Record Number",,"Tumor","Record ID","NAACCR",2011,,,
"addrAtDxCity",70,95,144,"left"," ","Addr at DX--City",,"Tumor","Demographic","CoC",,,,
"addrAtDxState",80,145,146,"left"," ","Addr at DX--State",,"Tumor","Demographic","CoC",2011,,,
"countyAtDx",90,156,158,"right","0","County at DX",,"Tumor","Demographic","FIPS/SEER",,,,
"addrAtDxPostalCode",100,147,155,"left"," ","Addr at DX--Postal Code",,"Tumor","Demographic","CoC",,,,
"addrAtDxCountry",102,436,438,"left"," ","Addr at DX--Country",,"Tumor","Demographic","NAACCR",2013,13,,
"censusTract19708090",110,159,164,"right","0","Census Tract 1970/80/90",,"Tumor","Demographic","SEER",,,,
"censusCodSys19708090",120,166,166,"left"," ","Census Cod Sys 1970/80/90",,"Tumor","Demographic","SEER",,,,
"censusTract2000",130,168,173,"right","0","Census Tract 2000",,"Tumor","Demographic","NAACCR",,,,
"censusTract2010",135,428,433,"left"," ","Census Tract 2010",,"Tumor","Demographic","NAACCR",2011,,,
"censusTrPovertyIndictr",145,463,463,"left"," ","Census Tr Poverty Indictr",,"Tumor","Demographic","NAACCR",2013,13,,
"maritalStatusAtDx",150,176,176,"left"," ","Marital Status at DX",,"Tumor","Demographic","SEER",,,,
"race1",160,177,178,"right","0","Race 1",,"Patient","Demographic","SEER/CoC",,,,
"race2",161,179,180,"right","0","Race 2",,"Patient","Demographic","SEER/CoC",,,,
"race3",162,181,182,"right","0","Race 3",,"Patient","Demographic","SEER/CoC",,,,
"race4",163,183,184,"right","0","Race 4",,"Patient","Demographic","SEER/CoC",,,,
"race5",164,185,186,"right","0","Race 5",,"Patient","Demographic","SEER/CoC",,,,
"raceCodingSysCurrent",170,187,187,"left"," ","Race Coding Sys--Current",,"Patient","Demographic","NAACCR",,,,
"raceCodingSysOriginal",180,188,188,"left"," ","Race Coding Sys--Original",,"Patient","Demographic","NAACCR",,,,
"spanishHispanicOrigin",190,189,189,"left"," ","Spanish/Hispanic Origin",,"Patient","Demographic","SEER/CoC",,,,
"nhiaDerivedHispOrigin",191,418,418,"left"," ","NHIA Derived Hisp Origin",,"Patient","Demographic","NAACCR",2005,,,
"ihsLink",192,421,421,"left"," ","IHS Link",,"Patient","Demographic","NPCR",2006,11,,
"raceNapiia",193,419,420,"right","0","Race--NAPIIA(derived API)",,"Patient","Demographic","NAACCR",2009,,,
"computedEthnicity",200,190,190,"left"," ","Computed Ethnicity",,"Patient","Demographic","SEER",1995,4,,
"computedEthnicitySource",210,191,191,"left"," ","Computed Ethnicity Source",,"Patient","Demographic","SEER",,,,
"sex",220,192,192,"left"," ","Sex",,"Patient","Demographic","SEER/CoC",,,,
"ageAtDiagnosis",230,193,195,"right","0","Age at Diagnosis",,"Tumor","Demographic","SEER/CoC",,,,
"dateOfBirth",240,196,203,"left"," ","Date of Birth",,"Patient","Demographic","SEER/CoC",,,,
"dateOfBirthFlag",241,204,205,"left"," ","Date of Birth Flag",,"Patient","Demographic","NAACCR",2010,12,,
"birthplace",250,206,208,"right","0","Birthplace",,"Patient","Demographic","SEER/CoC",,,,
"birthplaceState",252,442,443,"left"," ","Birthplace--State",,"Patient","Demographic","NAACCR",2013,13,,
"birthplaceCountry",254,444,446,"left"," ","Birthplace--Country",,"Patient","Demographic","NAACCR",2013,13,,
"censusOccCode19702000",270,209,211,"right","0","Census Occ Code 1970-2000",,"Tumor","Demographic","Census/NPCR",,,,
"censusIndCode2010",272,455,458,"left"," ","Census Ind Code 2010",,"Tumor","Demographic","Census/NPCR",2013,13,,
"censusIndCode19702000",280,212,214,"right","0","Census Ind Code 1970-2000",,"Tumor","Demographic","Census/NPCR",,,,
"censusOccCode2010",282,459,462,"left"," ","Census Occ Code 2010",,"Tumor","Demographic","Census/NPCR",2013,13,,
"occupationSource",290,215,215,"left"," ","Occupation Source",,"Tumor","Demographic","NPCR",,,,
"industrySource",300,216,216,"left"," ","Industry Source",,"Tumor","Demographic","NPCR",,,,
"textUsualOccupation",310,217,316,"left"," ","Text--Usual Occupation",,"Tumor","Demographic","NPCR",,,,
"textUsualIndustry",320,317,416,"left"," ","Text--Usual Industry",,"Tumor","Demographic","NPCR",,,,
"censusOccIndSys7000",330,417,417,"left"," ","Census Occ/Ind Sys 70-00",,"Tumor","Demographic","NPCR",,,,
"censusBlockGroup2000",362,174,174,"left"," ","Census Block Group 2000",,"Tumor","Demographic","Census",,,,
"censusBlockGroup2010",363,434,434,"left"," ","Census Block Group 2010",,"Tumor","Demographic","Census",2011,,,
"censusTrCert19708090",364,167,167,"left"," ","Census Tr Cert 1970/80/90",,"Tumor","Demographic","SEER",1997,,,
"censusTrCertainty2000",365,175,175,"left"," ","Census Tr Certainty 2000",,"Tumor","Demographic","NAACCR",2003,10,,
"gisCoordinateQuality",366,422,423,"left"," ","GIS Coordinate Quality",,"Tumor","Demographic","NAACCR",366,11,,
"censusTrCertainty2010",367,435,435,"left"," ","Census Tr Certainty 2010",,"Tumor","Demographic","NAACCR",2011,,,
"censusBlockGrp197090",368,165,165,"left"," ","Census Block Grp 1970-90",,"Tumor","Demographic","Census",2008,,,
"sequenceNumberCentral",380,528,529,"right","0","Sequence Number--Central",,"Tumor","Cancer Identification","SEER",,,,
"dateOfDiagnosis",390,530,537,"left"," ","Date of Diagnosis",,"Tumor","Cancer Identification","SEER/CoC",,,,
"dateOfDiagnosisFlag",391,538,539,"left"," ","Date of Diagnosis Flag",,"Tumor","Cancer Identification","NAACCR",2010,12,,
"primarySite",400,540,543,"left"," ","Primary Site",,"Tumor","Cancer Identification","SEER/CoC",,,,
"laterality",410,544,544,"left"," ","Laterality",,"Tumor","Cancer Identification","SEER/CoC",,,,
"histologyIcdO2",420,545,548,"left"," ","Histology (92-00) ICD-O-2",,"Tumor","Cancer Identification","SEER/CoC",,,,
"behaviorIcdO2",430,549,549,"left"," ","Behavior (92-00) ICD-O-2",,"Tumor","Cancer Identification","SEER/CoC",,,,
"dateOfMultTumorsFlag",439,587,588,"left"," ","Date of Mult Tumors Flag",,"Tumor","Cancer Identification","NAACCR",2010,12,,
"grade",440,555,555,"left"," ","Grade",,"Tumor","Cancer Identification","SEER/CoC",,,,
"gradePathValue",441,556,556,"left"," ","Grade Path Value",,"Tumor","Cancer Identification","AJCC",2010,12,,
"ambiguousTerminologyDx",442,566,566,"left"," ","Ambiguous Terminology DX",,"Tumor","Cancer Identification","SEER",2006,11,,
"dateConclusiveDx",443,567,574,"left"," ","Date Conclusive DX",,"Tumor","Cancer Identification","SEER",2006,11,,
"multTumRptAsOnePrim",444,577,578,"left"," ","Mult Tum Rpt as One Prim",,"Tumor","Cancer Identification","SEER",2006,11,,
"dateOfMultTumors",445,579,586,"left"," ","Date of Mult Tumors",,"Tumor","Cancer Identification","SEER",2006,11,,
"multiplicityCounter",446,589,590,"left"," ","Multiplicity Counter",,"Tumor","Cancer Identification","SEER",2006,11,,
"dateConclusiveDxFlag",448,575,576,"left"," ","Date Conclusive DX Flag",,"Tumor","Cancer Identification","NAACCR",2010,12,,
"gradePathSystem",449,557,557,"left"," ","Grade Path System",,"Tumor","Cancer Identification","AJCC",2010,12,,
"siteCodingSysCurrent",450,558,558,"left"," ","Site Coding Sys--Current",,"Tumor","Cancer Identification","NAACCR",,,,
"siteCodingSysOriginal",460,559,559,"left"," ","Site Coding Sys--Original",,"Tumor","Cancer Identification","NAACCR",,,,
"morphCodingSysCurrent",470,560,560,"left"," ","Morph Coding Sys--Current",,"Tumor","Cancer Identification","NAACCR",,,,
"morphCodingSysOriginl",480,561,561,"left"," ","Morph Coding Sys--Originl",,"Tumor","Cancer Identification","NAACCR",,,,
"diagnosticConfirmation",490,562,562,"left"," ","Diagnostic Confirmation",,"Tumor","Cancer Identification","SEER/CoC",,,,
"typeOfReportingSource",500,563,563,"left"," ","Type of Reporting Source",,"Tumor","Cancer Identification","SEER",,,,
"casefindingSource",501,564,565,"left"," ","Casefinding Source",,"Tumor","Cancer Identification","NAACCR",2006,11,,
"histologicTypeIcdO3",522,550,553,"left"," ","Histologic Type ICD-O-3",,"Tumor","Cancer Identification","SEER/CoC",2001,9,,
"behaviorCodeIcdO3",523,554,554,"left"," ","Behavior Code ICD-O-3",,"Tumor","Cancer Identification","SEER/CoC",2001,9,,
"reportingFacility",540,701,710,"left"," ","Reporting Facility",,"Tumor","Hospital-Specific","CoC",,,,
"npiReportingFacility",545,691,700,"left"," ","NPI--Reporting Facility",,"Tumor","Hospital-Specific","CMS",2007,,,
"accessionNumberHosp",550,731,739,"left"," ","Accession Number--Hosp",,"Tumor","Hospital-Specific","CoC",,,,
"sequenceNumberHospital",560,740,741,"right","0","Sequence Number--Hospital",,"Tumor","Hospital-Specific","CoC",,,,
"abstractedBy",570,742,744,"left"," ","Abstracted By",,"Tumor","Hospital-Specific","CoC",,,,
"dateOf1stContact",580,745,752,"left"," ","Date of 1st Contact",,"Tumor","Hospital-Specific","CoC",,,,
"dateOf1stContactFlag",581,753,754,"left"," ","Date of 1st Contact Flag",,"Tumor","Hospital-Specific","NAACCR",2010,12,,
"dateOfInptAdm",590,755,762,"left"," ","Date of Inpt Adm",,"Tumor","Hospital-Specific","NAACCR",,,,
"dateOfInptAdmFlag",591,763,764,"left"," ","Date of Inpt Adm Flag",,"Tumor","Hospital-Specific","NAACCR",2010,12,,
"dateOfInptDisch",600,765,772,"left"," ","Date of Inpt Disch",,"Tumor","Hospital-Specific","NAACCR",,,,
"dateOfInptDischFlag",601,773,774,"left"," ","Date of Inpt Disch Flag",,"Tumor","Hospital-Specific","NAACCR",2010,12,,
"inpatientStatus",605,775,775,"left"," ","Inpatient Status",,"Tumor","Hospital-Specific","NAACCR",2010,12,,
"classOfCase",610,776,777,"left"," ","Class of Case",,"Tumor","Hospital-Specific","CoC",1990,,,
"primaryPayerAtDx",630,778,779,"right","0","Primary Payer at DX",,"Tumor","Hospital-Specific","CoC",,,,
"rxHospSurgApp2010",668,781,781,"left"," ","RX Hosp--Surg App 2010",,"Tumor","Hospital-Specific","CoC",2010,12,,
"rxHospSurgPrimSite",670,782,783,"right","0","RX Hosp--Surg Prim Site",,"Tumor","Hospital-Specific","CoC",,,,
"rxHospScopeRegLnSur",672,784,784,"left"," ","RX Hosp--Scope Reg LN Sur",,"Tumor","Hospital-Specific","CoC",1997,,,
"rxHospSurgOthRegDis",674,785,785,"left"," ","RX Hosp--Surg Oth Reg/Dis",,"Tumor","Hospital-Specific","CoC",1997,,,
"rxHospRegLnRemoved",676,786,787,"left"," ","RX Hosp--Reg LN Removed",,"Tumor","Hospital-Specific","CoC",1997,,,
"rxHospRadiation",690,789,789,"left"," ","RX Hosp--Radiation",,"Tumor","Hospital-Specific","SEER",,,,
"rxHospChemo",700,790,791,"right","0","RX Hosp--Chemo",,"Tumor","Hospital-Specific","CoC",,,,
"rxHospHormone",710,792,793,"right","0","RX Hosp--Hormone",,"Tumor","Hospital-Specific","CoC",,,,
"rxHospBrm",720,794,795,"right","0","RX Hosp--BRM",,"Tumor","Hospital-Specific","CoC",,,,
"rxHospOther",730,796,796,"left"," ","RX Hosp--Other",,"Tumor","Hospital-Specific","CoC",,,,
"rxHospDxStgProc",740,797,798,"right","0","RX Hosp--DX/Stg Proc",,"Tumor","Hospital-Specific","CoC",,,,
"rxHospSurgSite9802",746,800,801,"right","0","RX Hosp--Surg Site 98-02",,"Tumor","Hospital-Specific","CoC",,,,
"rxHospScopeReg9802",747,802,802,"left"," ","RX Hosp--Scope Reg 98-02",,"Tumor","Hospital-Specific","CoC",,,,
"rxHospSurgOth9802",748,803,803,"left"," ","RX Hosp--Surg Oth 98-02",,"Tumor","Hospital-Specific","CoC",,,,
