"name","item","start_col","end_col","alignment","padding","data_type","width","name_literal","default","allow_unlimited_text","parent","section","source","year_added","version_added","year_retired","version_retired","include_incidence","include_confidential","include_abstract"
"recordType",10,1,1,"left"," ","text",1,"Record Type","A",FALSE,"NaaccrData","Record ID","NAACCR",,,,,TRUE,TRUE,TRUE
"patientIdNumber",20,42,49,"right","0","digits",8,"Patient ID Number",,FALSE,"Patient","Record ID","Reporting Registry",,,,,TRUE,TRUE,TRUE
"patientSystemIdHosp",21,50,57,"right","0","digits",8,"Patient System ID-Hosp",,FALSE,"Tumor","Record ID","NAACCR",2006,11,,,TRUE,TRUE,TRUE
"registryType",30,2,2,"left"," ","digits",1,"Registry Type",,FALSE,"NaaccrData","Record ID","NAACCR",,,,,TRUE,TRUE,TRUE
"registryId",40,30,39,"right","0","digits",10,"Registry ID",,FALSE,"NaaccrData","Record ID","NAACCR",,,,,TRUE,TRUE,TRUE
"npiRegistryId",45,20,29,"left"," ","digits",10,"NPI--Registry ID",,FALSE,"NaaccrData","Record ID","CMS",2007,,,,TRUE,TRUE,TRUE
"naaccrRecordVersion",50,17,19,"left"," ","digits",3,"NAACCR Record Version","180",FALSE,"NaaccrData","Record ID","NAACCR",,,,,TRUE,TRUE,TRUE
"tumorRecordNumber",60,40,41,"right","0","digits",2,"Tumor Record Number",,FALSE,"Tumor","Record ID","NAACCR",2011,,,,TRUE,TRUE,TRUE
"addrAtDxCity",70,74,123,"left"," ","text",50,"Addr at DX--City",,FALSE,"Tumor","Demographic","CoC",,,,,TRUE,TRUE,TRUE
"addrAtDxState",80,124,125,"left"," ","alpha",2,"Addr at DX--State",,FALSE,"Tumor","Demographic","CoC",2011,,,,TRUE,TRUE,TRUE
"stateAtDxGeocode19708090",81,153,154,"left"," ","text",2,"State at DX Geocode 1970/80/90",,FALSE,"Tumor","Demographic","NAACCR",2018,18,,,TRUE,TRUE,TRUE
"stateAtDxGeocode2000",82,167,168,"left"," ","text",2,"State at DX Geocode 2000",,FALSE,"Tumor","Demographic","NAACCR",2018,18,,,TRUE,TRUE,TRUE
"stateAtDxGeocode2010",83,180,181,"left"," ","text",2,"State at DX Geocode 2010",,FALSE,"Tumor","Demographic","NAACCR",2018,18,,,TRUE,TRUE,TRUE
"stateAtDxGeocode2020",84,193,194,"left"," ","text",2,"State at DX Geocode 2020",,FALSE,"Tumor","Demographic","NAACCR",2018,18,,,TRUE,TRUE,TRUE
"countyAtDxAnalysis",89,150,152,"left"," ","digits",3,"County at DX Analysis",,FALSE,"Tumor","Demographic","NAACCR",2018,18,,,TRUE,TRUE,TRUE
"countyAtDx",90,135,137,"right","0","digits",3,"County at DX Reported",,FALSE,"Tumor","Demographic","FIPS/SEER",,,,,TRUE,TRUE,TRUE
"countyAtDxGeocode1990",94,155,157,"left"," ","digits",3,"County at DX Geocode 1970/80/90",,FALSE,"Tumor","Demographic","NAACCR",2016,16,,,TRUE,TRUE,TRUE
"countyAtDxGeocode2000",95,169,171,"left"," ","digits",3,"County at DX Geocode2000",,FALSE,"Tumor","Demographic","NAACCR",2016,16,,,TRUE,TRUE,TRUE
"countyAtDxGeocode2010",96,182,184,"left"," ","digits",3,"County at DX Geocode2010",,FALSE,"Tumor","Demographic","NAACCR",2016,16,,,TRUE,TRUE,TRUE
"countyAtDxGeocode2020",97,195,197,"left"," ","digits",3,"County at DX Geocode2020",,FALSE,"Tumor","Demographic","NAACCR",2016,16,,,TRUE,TRUE,TRUE
"addrAtDxPostalCode",100,126,134,"left"," ","text",9,"Addr at DX--Postal Code",,FALSE,"Tumor","Demographic","CoC",,,,,TRUE,TRUE,TRUE
"addrAtDxCountry",102,464,466,"left"," ","alpha",3,"Addr at DX--Country",,FALSE,"Tumor","Demographic","NAACCR",2013,13,,,TRUE,TRUE,TRUE
